timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post
2023-01-03,3073884,8.8724,9.2793,8.8724,9.2694,0.3374,3.78,1.66,28399145.0,,
2023-01-04,2805140,9.2496,9.4183,9.2297,9.3786,0.1092,1.18,1.53,26428649.0,,
2023-01-05,2008896,9.319,9.4183,9.2694,9.319,-0.0596,-0.64,1.09,18908570.0,,
2023-01-06,2173630,9.3091,9.329,9.19,9.2099,-0.1091,-1.17,1.18,20281035.0,,
2023-01-09,4440270,9.2793,9.6664,9.2595,9.4183,0.2084,2.26,2.42,42247552.0,,
2023-01-10,2527990,9.4183,9.5275,9.2893,9.4282,0.0099,0.11,1.36,24039382.0,,
2023-01-11,2311920,9.4282,9.5175,9.2595,9.2595,-0.1687,-1.79,1.25,21849460.0,,
2023-01-12,1790397,9.2595,9.4183,9.2297,9.3885,0.129,1.39,0.98,16858571.0,,
2023-01-13,1656490,9.3687,9.3786,9.2099,9.2694,-0.1191,-1.27,0.88,15499952.0,,
2023-01-16,3310044,9.319,9.5572,9.319,9.5175,0.2481,2.68,1.81,31651464.0,,
2023-01-17,2092594,9.4481,9.587,9.3389,9.3885,-0.129,-1.36,1.15,19868488.0,,
2023-01-18,2885857,9.4381,9.5572,9.3389,9.5275,0.139,1.48,1.56,27592966.0,,
2023-01-19,3669788,9.5572,9.7557,9.4381,9.7259,0.1984,2.08,2.0,35799749.0,,
2023-01-20,4110860,9.7259,9.984,9.6763,9.845,0.1191,1.22,2.22,40858868.0,,
2023-01-30,8472492,10.0237,10.2817,10.0237,10.2321,0.3871,3.93,4.63,86695095.0,,
2023-01-31,3710565,10.2321,10.242,10.0832,10.1328,-0.0993,-0.97,1.99,37940980.0,,
2023-02-01,5415650,10.1825,10.4306,10.1031,10.4207,0.2879,2.84,2.95,56346129.0,,
2023-02-07,26949811,10.9367,12.0086,10.9367,11.2146,0.7939,7.62,14.69,308096379.0,,
2023-02-08,25471533,10.9963,11.7902,10.8276,11.5322,0.3176,2.83,13.85,288623981.0,100.0,1162.0
2023-02-09,18823646,10.907,11.2642,10.7184,11.1749,-0.3573,-3.1,10.22,209515729.0,4900.0,55174.0
2023-02-10,15180087,11.1352,11.5123,11.0161,11.294,0.1191,1.07,8.27,173220261.0,3000.0,34140.0
2023-02-13,11382224,11.3635,11.4131,10.9665,11.1154,-0.1786,-1.58,6.12,127040736.0,2700.0,30240.0
2023-02-14,8585827,11.0062,11.1352,10.8673,10.897,-0.2184,-1.96,4.66,94815638.0,,
2023-02-15,7512073,10.8077,11.0856,10.8077,11.0161,0.1191,1.09,4.05,83063730.0,,
2023-02-16,9509139,10.907,11.0558,10.5298,10.639,-0.3771,-3.42,5.17,103778187.0,,
2023-02-17,6528220,10.7085,10.7879,10.4107,10.4107,-0.2283,-2.15,3.51,69222900.0,1000.0,10490.0
2023-02-20,4502733,10.4207,10.6092,10.3611,10.5695,0.1588,1.53,2.42,47668021.0,,
2023-02-21,4875378,10.639,10.8276,10.5001,10.5894,0.0199,0.19,2.62,52392352.0,,
2023-02-22,4512824,10.4802,10.7482,10.4504,10.6985,0.1091,1.03,2.46,48357253.0,,
2023-02-23,3833629,10.6688,10.6985,10.381,10.4703,-0.2282,-2.13,2.09,40571514.0,,
2023-02-24,20718797,10.9467,11.6017,10.907,11.1253,0.655,6.26,11.28,233774103.0,1800.0,20178.0
2023-02-27,12711597,10.9665,11.1054,10.5894,10.5894,-0.5359,-4.82,6.93,138361956.0,,
2023-02-28,9211791,10.8077,10.9665,10.5199,10.6787,0.0893,0.84,5.08,99788353.0,5000.0,53800.0
2023-03-01,11674155,10.7085,11.0955,10.5794,10.9963,0.3176,2.97,6.44,128924331.0,,
2023-03-02,8259894,11.0062,11.165,10.9467,10.9665,-0.0298,-0.27,4.56,91960622.0,,
2023-03-03,7429561,10.9566,11.2642,10.8474,11.036,0.0695,0.63,4.1,82491977.0,,
2023-03-06,5344066,11.0062,11.036,10.7382,10.7879,-0.2481,-2.25,2.95,58293134.0,,
2023-03-07,5695057,10.7382,10.8375,10.4107,10.4405,-0.3474,-3.22,3.14,60745662.0,,
2023-03-08,4908708,10.4008,10.7779,10.4008,10.768,0.3275,3.14,2.71,52830724.0,,
2023-03-09,27976501,10.6787,12.9216,10.5596,12.9216,2.1536,20.0,15.44,344997010.0,5200.0,67704.0
2023-03-10,71480771,13.795,15.502,13.795,14.3904,1.4688,11.37,39.45,1063137956.0,1800.0,26100.0
2023-03-13,57509811,13.6759,14.6981,13.1995,14.6981,0.3077,2.14,31.74,792000816.0,10100.0,149581.0
2023-03-14,45827058,14.053,14.3507,13.5171,13.5568,-1.1413,-7.76,25.29,641227127.0,4900.0,66934.0
2023-03-15,31715688,13.6957,13.9935,13.2293,13.5965,0.0397,0.29,17.5,434341194.0,2200.0,30140.0
2023-03-16,27158124,13.0606,13.4972,12.9117,12.9514,-0.6451,-4.74,14.99,360788951.0,6600.0,86130.0
2023-03-17,30085201,13.1102,13.4079,12.9018,13.2094,0.258,1.99,16.6,399398681.0,500.0,6655.0
2023-03-20,30270741,13.0506,13.3484,12.4055,12.4055,-0.8039,-6.09,16.71,392497620.0,900.0,11250.0
2023-03-21,18637825,12.4155,12.733,12.1078,12.6834,0.2779,2.24,10.29,235523883.0,1500.0,19170.0
2023-03-22,18698196,12.6834,12.9514,12.5941,12.9315,0.2481,1.96,10.32,241944519.0,500.0,6515.0
2023-03-23,23588892,13.2987,13.3583,12.7231,12.9117,-0.0198,-0.15,13.02,308506611.0,1000.0,13010.0
2023-03-24,17264871,12.7529,12.9514,12.6338,12.8521,-0.0596,-0.46,9.53,223321439.0,4700.0,60865.0
2023-03-27,39582725,12.8819,13.9736,12.8422,13.9736,1.1215,8.73,21.85,533716297.0,3000.0,42240.0
2023-03-28,23636757,14.0927,14.0927,13.1796,13.1896,-0.784,-5.61,13.05,320824811.0,300.0,3987.0
2023-03-29,17412045,13.13,13.7652,13.1102,13.2987,0.1091,0.83,9.61,235221579.0,,
2023-03-30,15643061,13.0209,13.1796,12.6338,12.6537,-0.645,-4.85,8.63,202681653.0,3000.0,38250.0
2023-03-31,11903063,12.743,12.9117,12.3559,12.8323,0.1786,1.41,6.57,151883655.0,,
2023-04-03,18058365,12.9712,13.3384,12.7628,13.3384,0.5061,3.94,9.97,238451599.0,,
2023-04-04,22480226,13.3384,13.7453,13.1995,13.4377,0.0993,0.74,12.41,305604824.0,,
2023-04-06,17292584,13.2987,13.2987,12.6239,12.8323,-0.6054,-4.51,9.54,224528150.0,6000.0,77580.0
2023-04-07,13710838,12.9216,13.2193,12.5743,13.1995,0.3672,2.86,7.57,179625019.0,500.0,6650.0
2023-04-10,14056244,13.0506,13.1796,12.3361,12.3559,-0.8436,-6.39,7.76,179258283.0,,
2023-04-11,7712705,12.4055,12.6239,12.2964,12.4055,0.0496,0.4,4.26,96639830.0,4700.0,58750.0
2023-04-12,8967718,12.3162,12.8323,12.2368,12.8124,0.4069,3.28,4.95,114491709.0,,
2023-04-13,15022473,12.7033,13.2987,12.5842,12.9712,0.1588,1.24,8.29,197221248.0,,
2023-04-14,17616119,13.0705,13.5369,12.743,13.2789,0.3077,2.37,9.72,232882330.0,100.0,1338.0
2023-04-17,16893669,13.3781,13.5965,12.9613,13.0308,-0.2481,-1.87,9.32,226407609.0,,
2023-04-18,12590750,12.7529,12.7926,12.3857,12.4849,-0.5459,-4.19,6.95,159425539.0,,
2023-04-19,8447387,12.5048,12.7529,12.346,12.3857,-0.0992,-0.79,4.66,106584568.0,,
2023-04-20,10047933,12.3261,12.6537,12.2071,12.6338,0.2481,2.0,5.55,125911110.0,,
2023-04-21,15306572,12.5246,12.5246,11.5322,11.552,-1.0818,-8.56,8.45,183926466.0,300.0,3492.0
2023-04-24,7967721,11.5024,11.8101,11.423,11.562,0.01,0.09,4.4,93479443.0,,
2023-04-25,7589440,11.4826,11.562,11.0558,11.2146,-0.3474,-3.0,4.19,86184317.0,1100.0,12430.0
2023-04-26,6784410,11.2146,11.4726,11.0161,11.3139,0.0993,0.89,3.74,76949770.0,,
2023-04-27,8381176,11.4131,11.423,10.7482,10.8573,-0.4566,-4.04,4.63,93137089.0,1200.0,13128.0
2023-04-28,8867087,10.907,11.4627,10.8474,11.4429,0.5856,5.39,4.89,100441528.0,3500.0,40355.0
2023-05-04,5991748,11.2841,11.5322,11.0955,11.3436,-0.0993,-0.87,3.31,67969853.0,,
2023-05-05,8485811,11.3238,11.6711,11.2245,11.5719,0.2283,2.01,4.68,98303294.0,,
2023-05-08,6787504,11.6116,11.6116,11.2841,11.6116,0.0397,0.34,3.75,78375939.0,,
2023-05-09,11809340,11.5123,12.1078,11.3734,11.8895,0.2779,2.39,6.52,139556159.0,,
2023-05-10,20985895,12.5048,13.0606,12.2071,12.3361,0.4466,3.76,11.58,266026813.0,200.0,2486.0
2023-05-11,22465812,12.4055,13.0606,11.8696,13.0606,0.7245,5.87,12.4,282522506.0,1400.0,18424.0
2023-05-12,13852807,12.7033,12.7628,12.1773,12.2071,-0.8535,-6.53,7.65,174506597.0,,
2023-05-15,9676450,12.2964,12.3857,11.5123,11.8597,-0.3474,-2.85,5.34,115956010.0,,
2023-05-16,7683304,11.9093,11.9788,11.3039,11.3139,-0.5458,-4.6,4.24,88700417.0,500.0,5700.0
2023-05-17,5011718,11.3039,11.5818,11.2047,11.3833,0.0694,0.61,2.77,57562175.0,,
2023-05-18,7287053,11.4329,11.7704,11.3139,11.7208,0.3375,2.96,4.02,85350938.0,500.0,5905.0
2023-05-19,4718250,11.6487,11.7782,11.5094,11.5791,-0.1417,-1.21,2.6,55067515.0,1500.0,17445.0
2023-05-22,4943755,11.6089,11.6089,11.2704,11.4198,-0.1593,-1.38,2.73,56556226.0,,
2023-05-23,5230641,11.3799,11.6189,11.1908,11.3003,-0.1195,-1.05,2.89,60048030.0,,
2023-05-24,4890589,11.2505,11.5691,11.2107,11.5392,0.2389,2.11,2.7,56018638.0,,
2023-05-25,8269275,11.9375,11.9375,11.4496,11.5791,0.0399,0.35,4.56,97134721.0,,
2023-05-26,4988476,11.3401,11.6587,11.2605,11.599,0.0199,0.17,2.75,57476667.0,,
2023-05-29,7486991,11.6388,12.0171,11.6089,11.8578,0.2588,2.23,4.13,88974660.0,,
2023-05-30,6267873,11.8578,11.9972,11.5691,11.9474,0.0896,0.76,3.46,74424028.0,200.0,2400.0
2023-05-31,9874583,11.9474,12.3955,11.8479,12.1963,0.2489,2.08,5.45,120064087.0,,
2023-06-01,8072383,12.047,12.3755,11.9673,12.1366,-0.0597,-0.49,4.46,98796576.0,1000.0,12190.0
2023-06-02,5744953,12.1665,12.2461,12.0072,12.0072,-0.1294,-1.07,3.17,69830928.0,,
2023-06-05,5207982,11.9574,12.2959,11.9474,12.2262,0.219,1.82,2.87,63672400.0,,
2023-06-06,5291917,12.2461,12.2561,11.7981,11.8678,-0.3584,-2.93,2.92,63976182.0,,
2023-06-07,5033248,11.8977,12.2063,11.7583,12.1466,0.2788,2.35,2.78,61152090.0,,
2023-06-08,8144135,12.0968,12.3357,11.9176,12.3357,0.1891,1.56,4.49,99834478.0,,
2023-06-09,22491338,12.6045,13.4309,12.4054,12.9431,0.6074,4.92,12.41,290392977.0,3600.0,46800.0
2023-06-12,11485370,12.6543,12.8335,12.6145,12.724,-0.2191,-1.69,6.34,146440546.0,2700.0,34506.0
2023-06-13,8763090,12.6543,12.8136,12.3955,12.6941,-0.0299,-0.23,4.84,111408695.0,,
2023-06-14,17652222,12.5846,13.3214,12.5348,13.2218,0.5277,4.16,9.74,230436310.0,1700.0,22576.0
2023-06-15,10612415,13.0426,13.1223,12.7439,12.8435,-0.3783,-2.86,5.86,137242417.0,400.0,5160.0
2023-06-16,14405917,12.8037,13.5802,12.5846,13.1521,0.3086,2.4,7.95,190733363.0,9400.0,124174.0
2023-06-19,10302286,12.9431,13.2517,12.8435,13.1023,-0.0498,-0.38,5.69,135252185.0,,
2023-06-20,8316560,13.0127,13.1422,12.7041,12.7937,-0.3086,-2.36,4.59,107244533.0,,
2023-06-21,6980714,12.7141,12.7937,12.4353,12.5149,-0.2788,-2.18,3.85,88136845.0,600.0,7542.0
2023-06-26,6745488,12.4751,12.5946,11.7583,11.7981,-0.7168,-5.73,3.72,81934868.0,,
2023-06-27,4757178,11.9076,11.9375,11.6985,11.8479,0.0498,0.42,2.63,56497178.0,,
2023-06-28,7532721,11.8479,11.8479,11.0414,11.4795,-0.3684,-3.11,4.16,85573576.0,,
2023-06-29,4220713,11.4496,11.6288,11.3102,11.5193,0.0398,0.35,2.33,48684855.0,,
2023-06-30,3708659,11.4496,11.6587,11.4098,11.5791,0.0598,0.52,2.05,43043744.0,,
2023-07-03,4483590,11.5193,11.7284,11.3799,11.6487,0.0696,0.6,2.47,52099907.0,,
2023-07-04,3560070,11.599,11.7583,11.5591,11.7483,0.0996,0.86,1.96,41885407.0,,
2023-07-05,4831656,11.6786,11.7981,11.3998,11.4098,-0.3385,-2.88,2.67,56190897.0,,
2023-07-06,3286743,11.4297,11.6687,11.3501,11.4297,0.0199,0.17,1.81,38031558.0,,
2023-07-07,3090025,11.3998,11.3998,11.1211,11.2605,-0.1692,-1.48,1.71,34962245.0,,
2023-07-10,3520407,11.2605,11.3401,11.0713,11.0812,-0.1793,-1.59,1.94,39411144.0,,
2023-07-11,2200583,11.1211,11.2306,11.1111,11.2306,0.1494,1.35,1.21,24727403.0,,
2023-07-12,3879757,11.1808,11.3202,10.9319,10.9419,-0.2887,-2.57,2.14,43103859.0,,
2023-07-13,3959662,11.0514,11.3401,10.9618,11.2505,0.3086,2.82,2.19,44483179.0,,
2023-07-14,12513515,11.36,12.1167,11.2704,11.8479,0.5974,5.31,6.91,148716502.0,600.0,7140.0
2023-07-17,5564491,11.7981,11.8877,11.599,11.6687,-0.1792,-1.51,3.07,65470716.0,,
2023-07-18,3284609,11.6288,11.7483,11.4297,11.4894,-0.1793,-1.54,1.81,37959052.0,,
2023-07-19,3678591,11.4297,11.7483,11.4297,11.6487,0.1593,1.39,2.03,42935555.0,,
2023-07-20,4123360,11.7184,11.7284,11.2704,11.2704,-0.3783,-3.25,2.28,47319689.0,,
2023-07-21,2155198,11.2804,11.4098,11.1708,11.2405,-0.0299,-0.27,1.19,24439419.0,,
2023-07-24,2314282,11.2704,11.5591,11.1609,11.3998,0.1593,1.42,1.28,26494561.0,,
2023-07-25,12968956,11.4894,13.2218,9.2891,12.0769,0.6771,5.94,7.16,158940227.0,3300.0,40029.0
2023-07-26,8255523,11.8678,12.0968,11.7483,11.7981,-0.2788,-2.31,4.56,98356347.0,,
2023-07-27,5562947,11.7583,11.8479,11.3102,11.3202,-0.4779,-4.05,3.07,64393865.0,500.0,5685.0
2023-07-28,15606848,11.2605,12.6941,11.2306,12.276,0.9558,8.44,8.61,189557610.0,,
2023-07-31,8954553,12.2162,12.2959,11.9574,12.1067,-0.1693,-1.38,4.94,108977685.0,,
2023-08-01,6039205,12.037,12.266,11.9673,12.1067,0.0,0.0,3.33,73305650.0,,
2023-08-02,15513247,12.0569,12.6245,11.9873,12.5149,0.4082,3.37,8.56,193658458.0,,
2023-08-03,11393912,12.4552,12.7838,12.266,12.6543,0.1394,1.11,6.29,143261005.0,,
2023-08-04,18615895,12.7439,13.192,12.5249,12.9729,0.3186,2.52,10.27,241980605.0,,
2023-08-07,28345888,12.8236,13.9387,12.6941,13.6898,0.7169,5.53,15.64,381479620.0,4200.0,57750.0
2023-08-08,24346396,13.6699,13.9885,13.0526,13.172,-0.5178,-3.78,13.44,328291099.0,,
2023-08-09,20842461,13.0824,13.5802,12.8933,12.9331,-0.2389,-1.81,11.5,277221263.0,200.0,2598.0
2023-08-10,19146732,13.0426,13.4209,12.724,13.401,0.4679,3.62,10.57,250201331.0,4500.0,60570.0
2023-08-11,18531058,13.3413,13.3413,12.1665,12.2063,-1.1947,-8.92,10.23,232898460.0,900.0,11034.0
